genres,id,keywords,title,overview,cast,director,combined
"['action', 'drama']",182873,[],green street hooligans: underground,"An old firm leader returns to Green Street for Revanche after receiving a call that his little brother was killed, but is he able to cope with a new type of hooliganism and can he find his killer?","['scottadkins', 'joeyansah', 'kaceyclarke']",jamesnunn,"[ ] [ ' s c o t t a d k i n s ' ,   ' j o e y a n s a h ' ,   ' k a c e y c l a r k e ' ] jamesnunn [ ' a c t i o n ' ,   ' d r a m a ' ]"
"['action', 'adventure', 'sciencefiction']",21512,"['martialarts', 'post-apocalyptic', 'sport']",the blood of heroes,"Set in a futuristic world where the only sport that has survived in a wasted society is the brutal game known as jugging. Sallow, the leader of a rag-tag team, has played in the main Leagues before, but was cast out because of indiscretions with a lady. However now joined by a talented newcomer, Kidda, an ambitious young peasant girl he and his team find they have one last chance for glory","['rutgerhauer', 'joanchen', 'delroylindo']",davidwebbpeoples,"[ ' m a r t i a l a r t s ' ,   ' p o s t - a p o c a l y p t i c ' ,   ' s p o r t ' ] [ ' r u t g e r h a u e r ' ,   ' j o a n c h e n ' ,   ' d e l r o y l i n d o ' ] davidwebbpeoples [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' s c i e n c e f i c t i o n ' ]"
"['action', 'crime', 'thriller']",389425,[],code of honor,"Colonel Robert Sikes is on a mission to rid his city of crime. As a stealthy, one-man assault team, he will take on street gangs, mobsters, and politicians with extreme prejudice until his mission is complete. His former protégé, William Porter, teams up with the local police department to bring his former commander to justice and prevent him from further vigilantism.","['stevenseagal', 'craigsheffer', 'louismandylor']",michaelwinnick,"[ ] [ ' s t e v e n s e a g a l ' ,   ' c r a i g s h e f f e r ' ,   ' l o u i s m a n d y l o r ' ] michaelwinnick [ ' a c t i o n ' ,   ' c r i m e ' ,   ' t h r i l l e r ' ]"
"['comedy', 'drama']",403,"['individual', 'blackpeople', 'chauffeur']",driving miss daisy,The story of an old Jewish widow named Daisy Werthan and her relationship with her colored chauffeur Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters in a time when those types of relationships where shunned upon. Oscar winning tragic comedy with a star-studded cast and based on a play of the same name by Alfred Uhry.,"['morganfreeman', 'jessicatandy', 'danaykroyd']",bruceberesford,"[ ' i n d i v i d u a l ' ,   ' b l a c k p e o p l e ' ,   ' c h a u f f e u r ' ] [ ' m o r g a n f r e e m a n ' ,   ' j e s s i c a t a n d y ' ,   ' d a n a y k r o y d ' ] bruceberesford [ ' c o m e d y ' ,   ' d r a m a ' ]"
"['comedy', 'drama']",29461,"['sister', 'familyrelationships', 'unity']",soul food,"Traditional Sunday dinners at Mama Joe's (Irma P. Hall) turn sour when sisters Teri (Vanessa L. Williams), Bird (Nia Long) and Maxine (Vivica A. Fox) start bringing their problems to the dinner table in this ensemble comedy. When tragedy strikes, it's up to grandson Ahmad (Brandon Hammond) to pull the family together and put the soul back into the family's weekly gatherings. Michael Beach, Mekhi P","['vivicaa.fox', 'nialong', 'michaelbeach']","georgetillman,jr.","[ ' s i s t e r ' ,   ' f a m i l y r e l a t i o n s h i p s ' ,   ' u n i t y ' ] [ ' v i v i c a a . f o x ' ,   ' n i a l o n g ' ,   ' m i c h a e l b e a c h ' ] georgetillman,jr. [ ' c o m e d y ' ,   ' d r a m a ' ]"
"['crime', 'action', 'comedy']",33542,"['newyork', 'martialarts', 'supermarket']",紅番區,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.","['jackiechan', 'anitamui', 'françoiseyip']",stanleytong,"[ ' n e w y o r k ' ,   ' m a r t i a l a r t s ' ,   ' s u p e r m a r k e t ' ] [ ' j a c k i e c h a n ' ,   ' a n i t a m u i ' ,   ' f r a n ç o i s e y i p ' ] stanleytong [ ' c r i m e ' ,   ' a c t i o n ' ,   ' c o m e d y ' ]"
"['drama', 'war']",283708,"['fire', 'classroom', 'hostage']",loin des hommes,A French teacher in a small Algerian village during the Algerian War forms an unexpected bond with a dissident who is ordered to be turned in to the authorities.,"['viggomortensen', 'redakateb', 'djemelbarek']",davidoelhoffen,"[ ' f i r e ' ,   ' c l a s s r o o m ' ,   ' h o s t a g e ' ] [ ' v i g g o m o r t e n s e n ' ,   ' r e d a k a t e b ' ,   ' d j e m e l b a r e k ' ] davidoelhoffen [ ' d r a m a ' ,   ' w a r ' ]"
"['comedy', 'drama']",9388,"['fathersonrelationship', 'capitalism', 'basedonnovel']",thank you for smoking,"The chief spokesperson and lobbyist Nick Naylor is the Vice-President of the Academy of Tobacco Studies. He is talented in speaking and spins argument to defend the cigarette industry in the most difficult situations. His best friends are Polly Bailey that works in the Moderation Council in alcohol business, and Bobby Jay Bliss of the gun business own advisory group SAFETY. They frequently meet each other in a bar and they self-entitle the Mod Squad a.k.a. Merchants of Death, disputing which industry has killed more people. Nick's greatest enemy is Vermont's Senator Ortolan Finistirre, who defends in the Senate the use a skull and crossed bones in the cigarette packs. Nick's son Joey Naylor lives with his mother, and has the chance to know his father in a business trip. When the ambitious reporter Heather Holloway betrays Nick disclosing confidences he had in bed with her, his life turns upside-down. But Nick is good in what he does for the mortgage.","['aaroneckhart', 'mariabello', 'cameronbright']",jasonreitman,"[ ' f a t h e r s o n r e l a t i o n s h i p ' ,   ' c a p i t a l i s m ' ,   ' b a s e d o n n o v e l ' ] [ ' a a r o n e c k h a r t ' ,   ' m a r i a b e l l o ' ,   ' c a m e r o n b r i g h t ' ] jasonreitman [ ' c o m e d y ' ,   ' d r a m a ' ]"
['horror'],1691,"['prague', 'bratislava', 'castration']",hostel: part ii,"Following a geographical tour of Slovakia, three young American women are lured into a hostel by a handsome young man who sells them to the twisted masters, ties them up and brings upon an unthinkable world of pain.","['laurengerman', 'bijouphillips', 'heathermatarazzo']",eliroth,"[ ' p r a g u e ' ,   ' b r a t i s l a v a ' ,   ' c a s t r a t i o n ' ] [ ' l a u r e n g e r m a n ' ,   ' b i j o u p h i l l i p s ' ,   ' h e a t h e r m a t a r a z z o ' ] eliroth [ ' h o r r o r ' ]"
"['drama', 'romance']",24684,"['adolescence', 'agedifference', 'self-discovery']",an education,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.","['careymulligan', 'oliviawilliams', 'petersarsgaard']",lonescherfig,"[ ' a d o l e s c e n c e ' ,   ' a g e d i f f e r e n c e ' ,   ' s e l f - d i s c o v e r y ' ] [ ' c a r e y m u l l i g a n ' ,   ' o l i v i a w i l l i a m s ' ,   ' p e t e r s a r s g a a r d ' ] lonescherfig [ ' d r a m a ' ,   ' r o m a n c e ' ]"
"['comedy', 'drama', 'romance']",2610,['salesclerk'],shopgirl,"Mirabelle is a disenchanted salesgirl and aspiring artist who sells gloves and accessories at a department store. She has two men in her life: wealthy divorcée Ray Porter and struggling musician Jeremy. Mirabelle falls in love with the glamorous Ray, and her life takes a magical turn, but eventually she realizes that she must empower herself and make a choice between them.","['stevemartin', 'clairedanes', 'jasonschwartzman']",anandtucker,"[ ' s a l e s c l e r k ' ] [ ' s t e v e m a r t i n ' ,   ' c l a i r e d a n e s ' ,   ' j a s o n s c h w a r t z m a n ' ] anandtucker [ ' c o m e d y ' ,   ' d r a m a ' ,   ' r o m a n c e ' ]"
"['comedy', 'drama']",11308,"['suicide', 'bomb', 'prostitute']",the hotel new hampshire,The film talks about a family that weathers all sorts of disasters and keeps going in spite of it all. It is noted for its wonderful assortment of oddball characters.,"['roblowe', 'jodiefoster', 'paulmccrane']",tonyrichardson,"[ ' s u i c i d e ' ,   ' b o m b ' ,   ' p r o s t i t u t e ' ] [ ' r o b l o w e ' ,   ' j o d i e f o s t e r ' ,   ' p a u l m c c r a n e ' ] tonyrichardson [ ' c o m e d y ' ,   ' d r a m a ' ]"
"['action', 'crime', 'drama']",11022,"['assertion', 'investigation', 'internalaffairs']",narc,"An undercover narc dies, the investigation stalls, so the Detroit P.D. brings back Nick Tellis, fired 18-months ago when a stray bullet hits a pregnant woman. Tellis teams with Henry Oak, a friend of the dead narc and an aggressive cop constantly under the scrutiny of internal affairs. They follow leads and informants turn up dead.","['jasonpatric', 'rayliotta', 'chimcbride']",joecarnahan,"[ ' a s s e r t i o n ' ,   ' i n v e s t i g a t i o n ' ,   ' i n t e r n a l a f f a i r s ' ] [ ' j a s o n p a t r i c ' ,   ' r a y l i o t t a ' ,   ' c h i m c b r i d e ' ] joecarnahan [ ' a c t i o n ' ,   ' c r i m e ' ,   ' d r a m a ' ]"
['comedy'],34341,['sport'],men with brooms,"A witty and clever comedy that follows four longtime curling friends reunited by the last wishes of their recently deceased coach and set out to win the Golden Broom. Realising that the out of shape crew will be hard-pressed to win without a coach, Cutter swallows his pride and calls upon a retired curling champion - his estranged father. Now, these men with brooms, along with their new eccentric coach and Cutter's new romantic interest Amy, set off on a comedic journey which takes them from frozen lakes to huge arenas, searching for perfect stones, lost loves and second chances.","['paulgross', 'mollyparker', 'leslienielsen']",paulgross,"[ ' s p o r t ' ] [ ' p a u l g r o s s ' ,   ' m o l l y p a r k e r ' ,   ' l e s l i e n i e l s e n ' ] paulgross [ ' c o m e d y ' ]"
"['action', 'adventure', 'comedy']",15365,[],witless protection,The story centers on a small-town sheriff who witnesses what he believes is a kidnapping and rushes to rescue a woman. The kidnappers turn out to be FBI agents assigned to protect her and deliver her to a big Enron-type corruption trial in Chicago but are later found to be on the take and are villains who are bent on killing her,"['larrythecableguy', 'ivanamiličević', 'jennymccarthy']",charlesrobertcarner,"[ ] [ ' l a r r y t h e c a b l e g u y ' ,   ' i v a n a m i l i č e v i ć ' ,   ' j e n n y m c c a r t h y ' ] charlesrobertcarner [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' c o m e d y ' ]"
"['drama', 'romance']",36046,[],the work and the glory,"When Benjamin Steed and Mary Ann Steed relocate their family to upstate New York in the early 1800's, they unwittingly settle in a town divided along religious lines. After their new hired help turns out to be at the center of the uproar, each member of the Steed family must come to terms with their own beliefs in the face of heavy persecution. Together they struggle to weather the raging controversy surrounding a young man named Joseph Smith.","['samhennings', 'brendastrong', 'ericjohnson']",russellholt,"[ ] [ ' s a m h e n n i n g s ' ,   ' b r e n d a s t r o n g ' ,   ' e r i c j o h n s o n ' ] russellholt [ ' d r a m a ' ,   ' r o m a n c e ' ]"
['comedy'],12569,"['infidelity', 'conman', 'thief']",extract,"The owner of a factory that produces flavor extracts, Joel Reynold seems to have it all, but really doesn't. What's missing is sexual attention from his wife, Suzie. Joel hatches a convoluted plan to get Suzie to cheat on him, thereby clearing the way for Joel to have an affair with Cindy, an employee. But what Joel doesn't know is that Cindy is a sociopathic con artist, and a freak workplace accident clears the way for her to ruin Joel forever.","['jasonbateman', 'milakunis', 'kristenwiig']",mikejudge,"[ ' i n f i d e l i t y ' ,   ' c o n m a n ' ,   ' t h i e f ' ] [ ' j a s o n b a t e m a n ' ,   ' m i l a k u n i s ' ,   ' k r i s t e n w i i g ' ] mikejudge [ ' c o m e d y ' ]"
"['drama', 'music']",24356,"['journalist', 'musical', 'concert']",masked and anonymous,"Amidst unrest, organizers put on a benefit concert.","['bobdylan', 'jeffbridges', 'penélopecruz']",larrycharles,"[ ' j o u r n a l i s t ' ,   ' m u s i c a l ' ,   ' c o n c e r t ' ] [ ' b o b d y l a n ' ,   ' j e f f b r i d g e s ' ,   ' p e n é l o p e c r u z ' ] larrycharles [ ' d r a m a ' ,   ' m u s i c ' ]"
"['drama', 'thriller', 'crime']",55903,[],betty fisher et autres histoires,"Grieving after the death of her young son Joseph, novelist Betty Fisher enters a dark depression. Hoping to bring her out of it, her mother Margot arranges to kidnap another child, Jose, to replace the son Betty lost. Although she knows it's wrong, Betty accepts Jose as her new son. Meanwhile, Jose's mother Carole is looking for her son with the help of her boyfriend Francois and some of his criminal cohorts.","['sandrinekiberlain', 'nicolegarcia', 'mathildeseigner']",claudemiller,"[ ] [ ' s a n d r i n e k i b e r l a i n ' ,   ' n i c o l e g a r c i a ' ,   ' m a t h i l d e s e i g n e r ' ] claudemiller [ ' d r a m a ' ,   ' t h r i l l e r ' ,   ' c r i m e ' ]"
"['drama', 'romance', 'sciencefiction']",2577,"['seattle', 'shanghai', 'future']",code 46,"A futuristic 'Brief Encounter', a love story in which the romance is doomed by genetic incompatibility.","['timrobbins', 'samanthamorton', 'nabilelouahabi']",michaelwinterbottom,"[ ' s e a t t l e ' ,   ' s h a n g h a i ' ,   ' f u t u r e ' ] [ ' t i m r o b b i n s ' ,   ' s a m a n t h a m o r t o n ' ,   ' n a b i l e l o u a h a b i ' ] michaelwinterbottom [ ' d r a m a ' ,   ' r o m a n c e ' ,   ' s c i e n c e f i c t i o n ' ]"
['comedy'],103903,['racehorse'],outside bet,A group of print workers in 1980s London club together to buy a race horse.,"['bobhoskins', 'jennyagutter', 'phildavis']",sachabennett,"[ ' r a c e h o r s e ' ] [ ' b o b h o s k i n s ' ,   ' j e n n y a g u t t e r ' ,   ' p h i l d a v i s ' ] sachabennett [ ' c o m e d y ' ]"
['drama'],73873,"['butler', 'dublin', 'maid']",albert nobbs,"Albert Nobbs struggles to survive in late 19th century Ireland, where women aren't encouraged to be independent. Posing as a man, so she can work as a butler in Dublin's most posh hotel, Albert meets a handsome painter and looks to escape the lie she has been living.","['glennclose', 'miawasikowska', 'aarontaylor-johnson']",rodrigogarcía,"[ ' b u t l e r ' ,   ' d u b l i n ' ,   ' m a i d ' ] [ ' g l e n n c l o s e ' ,   ' m i a w a s i k o w s k a ' ,   ' a a r o n t a y l o r - j o h n s o n ' ] rodrigogarcía [ ' d r a m a ' ]"
"['drama', 'action', 'crime']",312113,[],black november,"A volatile, oil-rich Nigerian community wages war against their corrupt government and a multi-national oil corporation to protect their land from being destroyed by excessive drilling and spills.  To seek justice, a rebel organization kidnaps an American oil executive and demands that his corporation end the destruction and pollution.  Inspired by true events, Black November is the gripping story of how a community rises up and takes drastic measures to make sure their voices are heard.","['razaaqadoti', 'sarahwaynecallies', 'mickeyrourke']",jetaamata,"[ ] [ ' r a z a a q a d o t i ' ,   ' s a r a h w a y n e c a l l i e s ' ,   ' m i c k e y r o u r k e ' ] jetaamata [ ' d r a m a ' ,   ' a c t i o n ' ,   ' c r i m e ' ]"
"['family', 'comedy', 'romance']",14165,"['newyork', 'fromragstoriches', 'familyrelationships']",ta ra rum pum,"A poor New York resident, who is of Indian origin, dreams of becoming a fast car race driver. He endeavors, and his efforts are rewarded when he selected by a little-known group called 'RACING SADDLES'. He joins them and soon becomes their ace race driver. This man, whose name is Rajveer, then meets with a rich American woman, also of Indian origin, whose name is Radhika.  Both fall in love with each other. They cannot get married, because Radhika's family hates Rajveer mainly because he is very poor. But Radhika is very stubborn, so she marries him. She loses all her rights to her family's wealth. They get married and become parents of two children. They also become very rich. Then Rajveer has an accident which changes their lives forever. They get into debt and stand to lose everything. Will Radhika be forced to return back to her family?","['saifalikhan', 'ranimukerji', 'angelinaidnani']",siddharthanand,"[ ' n e w y o r k ' ,   ' f r o m r a g s t o r i c h e s ' ,   ' f a m i l y r e l a t i o n s h i p s ' ] [ ' s a i f a l i k h a n ' ,   ' r a n i m u k e r j i ' ,   ' a n g e l i n a i d n a n i ' ] siddharthanand [ ' f a m i l y ' ,   ' c o m e d y ' ,   ' r o m a n c e ' ]"
"['animation', 'drama']",2011,"['civilwar', 'parentskidsrelationship', '1970s']",persepolis,"In 1970s Iran, Marjane 'Marji' Statrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand how the new Iran, now ruled by Islamic fundamentalists, has become a repressive tyranny on its own.","['chiaramastroianni', 'danielledarrieux', 'catherinedeneuve']",vincentparonnaud,"[ ' c i v i l w a r ' ,   ' p a r e n t s k i d s r e l a t i o n s h i p ' ,   ' 1 9 7 0 s ' ] [ ' c h i a r a m a s t r o i a n n i ' ,   ' d a n i e l l e d a r r i e u x ' ,   ' c a t h e r i n e d e n e u v e ' ] vincentparonnaud [ ' a n i m a t i o n ' ,   ' d r a m a ' ]"
"['thriller', 'adventure', 'fantasy']",45650,"['basement', 'hole', 'littlebrother']",the hole,"After moving into a new neighbourhood, brothers Dane &amp; Lucas and their neighbour Julie discover a bottomless hole in the basement of their home. They find that once the hole is exposed, evil is unleashed. With strange shadows lurking around every corner and nightmares coming to life, they are forced to come face to face with their darkest fears to put an end to the mystery of THE HOLE.","['chrismassoglia', 'haleybennett', 'nathangamble']",joedante,"[ ' b a s e m e n t ' ,   ' h o l e ' ,   ' l i t t l e b r o t h e r ' ] [ ' c h r i s m a s s o g l i a ' ,   ' h a l e y b e n n e t t ' ,   ' n a t h a n g a m b l e ' ] joedante [ ' t h r i l l e r ' ,   ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
"['drama', 'thriller']",7735,"['dictator', 'trainer', 'classroom']",die welle,A school teacher discusses types of government with his class. His students find it too boring to repeatedly go over national socialism and believe that dictatorship cannot be established in modern Germany. He starts an experiment to show how easily the masses can become manipulated.,"['jürgenvogel', 'fredericklau', 'maxriemelt']",dennisgansel,"[ ' d i c t a t o r ' ,   ' t r a i n e r ' ,   ' c l a s s r o o m ' ] [ ' j ü r g e n v o g e l ' ,   ' f r e d e r i c k l a u ' ,   ' m a x r i e m e l t ' ] dennisgansel [ ' d r a m a ' ,   ' t h r i l l e r ' ]"
"['thriller', 'horror']",301365,['model'],the neon demon,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.","['ellefanning', 'karlglusman', 'jenamalone']",nicolaswindingrefn,"[ ' m o d e l ' ] [ ' e l l e f a n n i n g ' ,   ' k a r l g l u s m a n ' ,   ' j e n a m a l o n e ' ] nicolaswindingrefn [ ' t h r i l l e r ' ,   ' h o r r o r ' ]"
"['thriller', 'crime', 'drama']",25941,"['self-defense', 'widower']",harry brown,An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,"['michaelcaine', 'emilymortimer', 'iainglen']",danielbarber,"[ ' s e l f - d e f e n s e ' ,   ' w i d o w e r ' ] [ ' m i c h a e l c a i n e ' ,   ' e m i l y m o r t i m e r ' ,   ' i a i n g l e n ' ] danielbarber [ ' t h r i l l e r ' ,   ' c r i m e ' ,   ' d r a m a ' ]"
"['horror', 'thriller']",29064,"['bible', 'suspense', 'biblicalcode']",the omega code,"In this spiritual thriller, an ancient prophecy is about to be fulfilled as a secret code brings the world to the edge of Apocalypse. Gillen Lane (Casper Van Dien) is a expert on theology and mythology who has gained international fame as a motivational speaker.","['caspervandien', 'michaelyork', 'catherineoxenberg']",robertmarcarelli,"[ ' b i b l e ' ,   ' s u s p e n s e ' ,   ' b i b l i c a l c o d e ' ] [ ' c a s p e r v a n d i e n ' ,   ' m i c h a e l y o r k ' ,   ' c a t h e r i n e o x e n b e r g ' ] robertmarcarelli [ ' h o r r o r ' ,   ' t h r i l l e r ' ]"
"['comedy', 'drama', 'romance']",7326,"['sexuality', 'becominganadult', 'puberty']",juno,"A young girl named Juno gets herself pregnant and tries to stand on her own, but soon learns a few lessons about being grown up.","['ellenpage', 'michaelcera', 'jennifergarner']",jasonreitman,"[ ' s e x u a l i t y ' ,   ' b e c o m i n g a n a d u l t ' ,   ' p u b e r t y ' ] [ ' e l l e n p a g e ' ,   ' m i c h a e l c e r a ' ,   ' j e n n i f e r g a r n e r ' ] jasonreitman [ ' c o m e d y ' ,   ' d r a m a ' ,   ' r o m a n c e ' ]"
['action'],326284,[],pound of flesh,"In China to donate his kidney to his dying niece, former black-ops agent Deacon awakes the day before the operation to find he is the latest victim of organ theft. Stitched up and pissed-off, Deacon descends from his opulent hotel in search of his stolen kidney and carves a blood-soaked path through the darkest corners of the city. The clock is ticking for his niece and with each step he loses blood.","['jean-claudevandamme', 'johnralston', 'darrenshahlavi']",erniebarbarash,"[ ] [ ' j e a n - c l a u d e v a n d a m m e ' ,   ' j o h n r a l s t o n ' ,   ' d a r r e n s h a h l a v i ' ] erniebarbarash [ ' a c t i o n ' ]"
"['adventure', 'action', 'thriller']",681,"['spy', 'fight', 'secretorganization']",diamonds are forever,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,"['seanconnery', 'jillst.john', 'charlesgray']",guyhamilton,"[ ' s p y ' ,   ' f i g h t ' ,   ' s e c r e t o r g a n i z a t i o n ' ] [ ' s e a n c o n n e r y ' ,   ' j i l l s t . j o h n ' ,   ' c h a r l e s g r a y ' ] guyhamilton [ ' a d v e n t u r e ' ,   ' a c t i o n ' ,   ' t h r i l l e r ' ]"
"['drama', 'crime']",238,"['italy', 'loveatfirstsight', 'lossoffather']",the godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","['marlonbrando', 'alpacino', 'jamescaan']",francisfordcoppola,"[ ' i t a l y ' ,   ' l o v e a t f i r s t s i g h t ' ,   ' l o s s o f f a t h e r ' ] [ ' m a r l o n b r a n d o ' ,   ' a l p a c i n o ' ,   ' j a m e s c a a n ' ] francisfordcoppola [ ' d r a m a ' ,   ' c r i m e ' ]"
"['drama', 'music', 'romance']",535,"['dancing', 'dance', 'locksmith']",flashdance,The popular 1980’s dance movie that depicts the life of an exotic dancer with a side job as a welder who true desire is to get into ballet school. It’s her dream to be a professional dancer and now is her chance. The film has a great soundtrack with an Oscar winning song.,"['jenniferbeals', 'michaelnouri', 'liliaskala']",adrianlyne,"[ ' d a n c i n g ' ,   ' d a n c e ' ,   ' l o c k s m i t h ' ] [ ' j e n n i f e r b e a l s ' ,   ' m i c h a e l n o u r i ' ,   ' l i l i a s k a l a ' ] adrianlyne [ ' d r a m a ' ,   ' m u s i c ' ,   ' r o m a n c e ' ]"
"['comedy', 'drama', 'romance']",19913,"['date', 'sex', 'jealousy']",(500) days of summer,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.","['josephgordon-levitt', 'zooeydeschanel', 'chloëgracemoretz']",marcwebb,"[ ' d a t e ' ,   ' s e x ' ,   ' j e a l o u s y ' ] [ ' j o s e p h g o r d o n - l e v i t t ' ,   ' z o o e y d e s c h a n e l ' ,   ' c h l o ë g r a c e m o r e t z ' ] marcwebb [ ' c o m e d y ' ,   ' d r a m a ' ,   ' r o m a n c e ' ]"
"['drama', 'romance']",713,"['lovetriangle', 'scotland', 'mother']",the piano,"After a long voyage from Scotland, pianist Ada McGrath and her young daughter, Flora, are left with all their belongings, including a piano, on a New Zealand beach. Ada, who has been mute since childhood, has been sold into marriage to a local man named Alisdair Stewart. Making little attempt to warm up to Alisdair, Ada soon becomes intrigued by his Maori-friendly acquaintance, George Baines, leading to tense, life-altering conflicts.","['hollyhunter', 'harveykeitel', 'samneill']",janecampion,"[ ' l o v e t r i a n g l e ' ,   ' s c o t l a n d ' ,   ' m o t h e r ' ] [ ' h o l l y h u n t e r ' ,   ' h a r v e y k e i t e l ' ,   ' s a m n e i l l ' ] janecampion [ ' d r a m a ' ,   ' r o m a n c e ' ]"
"['drama', 'comedy']",77930,"['dancing', 'florida', 'stripclub']",magic mike,"Mike, an experienced stripper, takes a younger performer called The Kid under his wing and schools him in the arts of partying, picking up women, and making easy money.","['channingtatum', 'matthewmcconaughey', 'alexpettyfer']",stevensoderbergh,"[ ' d a n c i n g ' ,   ' f l o r i d a ' ,   ' s t r i p c l u b ' ] [ ' c h a n n i n g t a t u m ' ,   ' m a t t h e w m c c o n a u g h e y ' ,   ' a l e x p e t t y f e r ' ] stevensoderbergh [ ' d r a m a ' ,   ' c o m e d y ' ]"
"['thriller', 'horror']",10727,"['witch', 'lossofmother', 'smalltown']",darkness falls,"A vengeful spirit has taken the form of the Tooth Fairy to exact vengeance on the town that lynched her 150 years earlier. Her only opposition is the only child, now grown up, who has survived her before","['chaneykley', 'emmacaulfield', 'leecormie']",jonathanliebesman,"[ ' w i t c h ' ,   ' l o s s o f m o t h e r ' ,   ' s m a l l t o w n ' ] [ ' c h a n e y k l e y ' ,   ' e m m a c a u l f i e l d ' ,   ' l e e c o r m i e ' ] jonathanliebesman [ ' t h r i l l e r ' ,   ' h o r r o r ' ]"
"['adventure', 'action', 'thriller']",253,"['londonengland', 'newyork', 'bomb']",live and let die,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,"['rogermoore', 'yaphetkotto', 'janeseymour']",guyhamilton,"[ ' l o n d o n e n g l a n d ' ,   ' n e w y o r k ' ,   ' b o m b ' ] [ ' r o g e r m o o r e ' ,   ' y a p h e t k o t t o ' ,   ' j a n e s e y m o u r ' ] guyhamilton [ ' a d v e n t u r e ' ,   ' a c t i o n ' ,   ' t h r i l l e r ' ]"
"['comedy', 'drama', 'family']",17908,"['mississippi', 'childhoodmemory', 'dog']",my dog skip,"A shy boy is unable to make friends in Yazoo City, Mississippi in 1942, until his parents give him a terrier puppy for his ninth birthday. The dog, which he names Skip, becomes well known and loved throughout the community and enriches the life of the boy, Willie, as he grows into manhood. Based on the best-selling Mississippi memoir by the late Willie Morris.","['frankiemuniz', 'dianelane', 'kevinbacon']",jayrussell,"[ ' m i s s i s s i p p i ' ,   ' c h i l d h o o d m e m o r y ' ,   ' d o g ' ] [ ' f r a n k i e m u n i z ' ,   ' d i a n e l a n e ' ,   ' k e v i n b a c o n ' ] jayrussell [ ' c o m e d y ' ,   ' d r a m a ' ,   ' f a m i l y ' ]"
"['comedy', 'romance']",8390,"['lovesickness', ""loveofone'slife"", 'narration']","definitely, maybe","When Will decides to tell his daughter the story of how he met her mother, he discovers that a second look at the past might also give him a second chance at the future.","['ryanreynolds', 'abigailbreslin', 'elizabethbanks']",adambrooks,"[ ' l o v e s i c k n e s s ' ,   "" l o v e o f o n e ' s l i f e "" ,   ' n a r r a t i o n ' ] [ ' r y a n r e y n o l d s ' ,   ' a b i g a i l b r e s l i n ' ,   ' e l i z a b e t h b a n k s ' ] adambrooks [ ' c o m e d y ' ,   ' r o m a n c e ' ]"
['comedy'],57119,"['africanamerican', 'wedding', 'classdifferences']",jumping the broom,Two very different families converge on Martha's Vineyard one weekend for a wedding.,"['paulapatton', 'juliebowen', 'meagangood']",salimakil,"[ ' a f r i c a n a m e r i c a n ' ,   ' w e d d i n g ' ,   ' c l a s s d i f f e r e n c e s ' ] [ ' p a u l a p a t t o n ' ,   ' j u l i e b o w e n ' ,   ' m e a g a n g o o d ' ] salimakil [ ' c o m e d y ' ]"
"['drama', 'history']",3291,"['telecaster', 'communist', 'politicalactivism']","good night, and good luck.","The story of journalist, Edward R Murrow's stand against Senator McCarthy's anti-communist witch-hunts in the early 1950s.","['davidstrathairn', 'jeffdaniels', 'alexborstein']",georgeclooney,"[ ' t e l e c a s t e r ' ,   ' c o m m u n i s t ' ,   ' p o l i t i c a l a c t i v i s m ' ] [ ' d a v i d s t r a t h a i r n ' ,   ' j e f f d a n i e l s ' ,   ' a l e x b o r s t e i n ' ] georgeclooney [ ' d r a m a ' ,   ' h i s t o r y ' ]"
